volumeto,high,low,time,volumefrom,close,open
46986258.31,257.54,241.83,1435363200,187235.75,256.97,242.95
59498618.53,268.73,253.09,1435622400,228471.66,254.88,256.97
30744190.24,274.14,252.44,1435881600,117976.4,270.14,254.88
37505177.22,277.48,263.18,1436140800,177478.14,268.64,270.14
59897930.57,298.76,265.13,1436400000,212046.95,291.97,268.64
97243320.13,315.88,276.85,1436659200,328167.58,286.96,291.97
68647066.57,292.92,271.17,1436918400,243024.53,279.62,286.96
36581182.8,282.53,243.24,1437177600,132135.85,277.68,279.62
35134837.53,281.05,273.12,1437436800,126684.75,275.52,277.68
42157981.95,293.28,274.26,1437696000,146999.79,291.77,275.52
49562970.36,296.68,285.4,1437955200,169450.02,288.37,291.77
37976578.69,289.89,276.3,1438214400,133431.18,280.47,288.37
35717087.9,285.66,275.93,1438473600,126407.38,284.3,280.47
32093502.9,285.45,274.28,1438732800,114359.59,277.89,284.3
50336314.64,278.92,257.42,1438992000,188587.45,263.3,277.89
43877085.44,271.5,261.28,1439251200,164582.86,263.44,263.3
42082840.16,267.22,254.57,1439510400,160271.02,257.12,263.44
91788823.8,259.93,214.29,1439769600,388208.71,226,257.12
51687707.57,238.03,221.04,1440028800,222835.85,229.54,226
94864410.43,232.7,196.26,1440288000,436329.64,220.51,229.54
55368818.19,234.81,218.79,1440547200,243719.38,231.64,220.51
31712257.09,233.09,224.2,1440806400,138055.37,229.47,231.64
40987428.34,231.45,225.36,1441065600,179459.54,226.2,229.47
41367191.04,243.64,225.75,1441324800,176314.19,239.86,226.2
48986425.93,246.38,236.49,1441584000,202805.79,237.41,239.86
35847228.54,241.02,233.32,1441843200,150085.1,235.6,237.41
37479742.84,242.83,225.96,1442102400,162209.23,229.53,235.6
37240494.5,235.17,225.05,1442361600,161142.35,232.21,229.53
27861012.71,233.35,225,1442620800,121049.07,226.33,232.21
43251954.65,235.84,224.07,1442880000,187271.88,233.76,226.33
32390636.45,237.58,231.84,1443139200,138003.19,232.5,233.76
40867279.05,240.39,232.37,1443398400,172086.68,235.93,232.5
34251704.53,239.52,234.7,1443657600,144130.74,238.58,235.93
